Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
RAB27A	gene	RAB27A	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Diseases of Immune Dysregulation;Partial albinism, fever, HSM, HLH, cytopenias;Griscelli syndrome, type 2 607624				12058346;12531900;12522785;15163896		False	3	100;0;0	1.143	False		ENSG00000069974	ENSG00000069974	HGNC:9766													
RAC2	gene	RAC2	Combined B and T cell defect v1.12;Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;SCID v1.6;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Reticular dysgenesis;poststreptococcal glomerulonephritis;Congenital defects of phagocyte number or function;Neutrophil immunodeficiency syndrome;RAS-related C3 Bolutinum toxin substrate 2 deficiency (RAC2);T-B+ SCID;Neutrophil immunodeficiency syndrome 608203;Recurrent sinopulmonary infections, selective IgA defiency;urticaria;T-B- SCID;Poor wound healing, leukocytosis				21167572;30654050;30723080;31071452;25512081;10758162;31382036;10961859		False	3	0;20;80	1.143	False		ENSG00000128340	ENSG00000128340	HGNC:9802													
RAD51	gene	RAD51	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	?Fanconi anemia, complementation group R, 617244				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000051180	ENSG00000051180	HGNC:9817													
RAD51C	gene	RAD51C	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Fanconi anemia, complementation group O, 613390				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000108384	ENSG00000108384	HGNC:9820													
RAG1	gene	RAG1	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;SCID v1.6;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Nl NK;Severe combined immunodeficiency, B cell-negative, 601457;Severe Combined Immune Deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Immunodeficiencies affecting cellular and humoral immunity;T-B+ SCID;Severe combined immunodeficiency, B cell-negative;Omenn syndrome;Severe combined immunodeficiency (SCID);T-B- SCID;RAG1 deficiency						False	3	100;0;0	1.143	False		ENSG00000166349	ENSG00000166349	HGNC:9831													
RAG2	gene	RAG2	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;SCID v1.6;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Nl NK;Severe combined immunodeficiency, B cell-negative, 601457;Severe Combined Immune Deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Immunodeficiencies affecting cellular and humoral immunity;T-B+ SCID;Severe combined immunodeficiency, B cell-negative;Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, Nk Cell-Positive;Omenn syndrome;Severe combined immunodeficiency (SCID);T-B- SCID;RAG2 deficiency						False	3	100;0;0	1.143	False		ENSG00000175097	ENSG00000175097	HGNC:9832													
RANBP2	gene	RANBP2	Expert Review Green;IUIS Classification December 2019;IUIS Classification December 2028;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Fever induces acute encephalopathy;Defects in intrinsic and innate immunity;Defects in Intrinsic and Innate Immunity				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000153201	ENSG00000153201	HGNC:9848													
RASGRP1	gene	RASGRP1	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Recurrent pneumonia, herpesvirus infections, EBV associated lymphoma;Immunodeficiency 64, 618534;Diseases of Immune Dysregulation;Immunodeficiency;EBV-induced lymphoma;immunde dysregulation				27776107;28822832;30030704;29282224;29155103		False	3	100;0;0	1.143	False		ENSG00000172575	ENSG00000172575	HGNC:9878													
RBCK1	gene	RBCK1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Polyglucosan body myopathy 1 with or without immunodeficiency, OMIM:615895;Bacterial infections, autoinflammation, amylopectinosis;Combined immunodeficiencies with associated or syndromic features				23104095;29260357		False	3	100;0;0	1.143	False		ENSG00000125826	ENSG00000125826	HGNC:15864													
RECQL4	gene	RECQL4	ESID Registry 20171117;Expert Review Green	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Rothmund-Thomson syndrome, 268400;Combined immunodeficiency				16630167;21143835;26064716;30174688		False	3	0;50;50	1.143	False		ENSG00000160957	ENSG00000160957	HGNC:9949													
REL	gene	REL	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Recurrent infections with bacteria, mycobacteria, salmonella and opportunistic infections;Immunodeficiencies affecting cellular and humoral immunity;c-Rel deficiency				32086639;31103457;32048120		False	3	50;50;0	1.143	False		ENSG00000162924	ENSG00000162924	HGNC:9954													
RELA	gene	RELA	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	RelA haplosufficiency;Mucosal ulceration, impaired NFkB activation;Mucocutaneous ulceration, chronic, 618287;Immunodeficiencies affecting cellular and humoral immunity				28600438;32086639;32048120;29305315		False	3	50;50;0	1.143	False		ENSG00000173039	ENSG00000173039	HGNC:9955													
RELB	gene	RELB	Combined B and T cell defect v1.12;Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Immunodeficiencies affecting cellular and humoral immunity;Recurrent infectionsImmunodeficiencies affecting cellular and humoral immunity;Recurrent infections;?Immunodeficiency 53, 617585				32086639;32048120;26385063		False	3	0;0;100	1.143	False		ENSG00000104856	ENSG00000104856	HGNC:9956													
RFWD3	gene	RFWD3	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	?Fanconi anemia, complementation group W, 617784				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000168411	ENSG00000168411	HGNC:25539													
RFX5	gene	RFX5	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	HLA class II deficiency;Combined immunodeficiency;Bare lymphocyte syndrome (MHC class II deficiency);Bare lymphocyte syndrome, type II, complementation group E;Immunodeficiencies affecting cellular and humoral immunity;Respiratory and gastrointestinal infections, liver/biliary tract disease;Bare lymphocyte syndrome, type II, complementation group C				9401005;7744245		False	3	100;0;0	1.143	False		ENSG00000143390	ENSG00000143390	HGNC:9986													
RFXANK	gene	RFXANK	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	MHC class II deficiency, complementation group B, OMIM:209920;HLA class II deficiency;Respiratory and gastrointestinal infections, liver/biliary tract disease;Immunodeficiencies affecting cellular and humoral immunity				22863278;11313409;12618906;20414676;9806546		False	3	100;0;0	1.143	False		ENSG00000064490	ENSG00000064490	HGNC:9987													
RFXAP	gene	RFXAP	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	HLA class II deficiency;Combined immunodeficiency (MHC class II deficiency, bare lymphocyte syndrome);Bare lymphocyte syndrome, type II, complementation group D;Immunodeficiencies affecting cellular and humoral immunity;Respiratory and gastrointestinal infections, liver/biliary tract disease				12498778;9287230;18336911;22390233;20197681;9118943;9806639		False	3	100;0;0	1.143	False		ENSG00000133111	ENSG00000133111	HGNC:9988													
RHOH	gene	RHOH	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	T cell deficiency and various infectious diseases;Combined immunodeficiency;HPV infection, lung granulomas, molluscum contagiosum, lymphoma;Epidermodysplasia verruciformis;Immunodeficiencies affecting cellular and humoral immunity;RhoH deficiency				22850876;32086639;32048120;24189071		False	3	0;100;0	1.143	False		ENSG00000168421	ENSG00000168421	HGNC:686													
RIPK1	gene	RIPK1	Expert Review Green;Literature;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Severe immunodeficiency, arthritis, and intestinal inflammation;Immunodeficiency 57, 618108				30026316;30026316;30591564;31213653;31827280;30026316		False	3	100;0;0	1.143	False		ENSG00000137275	ENSG00000137275	HGNC:10019													
RMRP	gene	RMRP	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Short-limbed dwarfism with metaphyseal dysostosis, sparse hair, bone marrow failure, autoimmunity, susceptibility to lymphoma and other cancers, impaired spermatogenesis, neuronal dysplasia of the intestine;Cartilage hair hypoplasia;Cartilage-hair hypoplasia;Anauxetic dysplasia 1, 232220;Omenn syndrome;Cartilage-hair hypoplasia, with or without immunodeficiency;Combined immunodeficiencies with associated or syndromic features				26830278;2328993;3582365;24217815;26279652;25663137		False	3	100;0;0	1.143	False		ENSG00000269900	ENSG00000269900	HGNC:10031													
RNASEH2A	gene	RNASEH2A	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Autoinflammatory Disorders;Classical AGS;Aicardi-Goutieres syndrome 4 610333, Lupus;Type 1 interferonopathies				23592335;16845400;21454563		False	3	100;0;0	1.143	False		ENSG00000104889	ENSG00000104889	HGNC:18518													
RNASEH2B	gene	RNASEH2B	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 2 610181;Autoinflammatory Disorders;Type 1 interferonopathies;Classical AGS, SP						False	3	100;0;0	1.143	False		ENSG00000136104	ENSG00000136104	HGNC:25671													
RNASEH2C	gene	RNASEH2C	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 3 610329;Autoinflammatory Disorders;Type 1 interferonopathies;Classical AGS				23322642;16845400;25604658;17846997		False	3	100;0;0	1.143	False		ENSG00000172922	ENSG00000172922	HGNC:24116													
RNASEL	gene	RNASEL	Expert list;Expert Review Green;OMIM	COVID-19 research		Viral research	Unknown							False	3	100;0;0	1.143	False		ENSG00000135828	ENSG00000135828	HGNC:10050													
RNF168	gene	RNF168	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Combined immunodeficiencies with associated or syndromic features;RNF168 deficiency;Short stature, mild defect of motor control to ataxia, normal intelligence to learning difficulties, mild facial dysmorphism to microcephaly,  increased radiosensitivity;RIDDLE syndrome 611943				21394101;19203578;29255463		False	3	100;0;0	1.143	False		ENSG00000163961	ENSG00000163961	HGNC:26661													
RNF31	gene	RNF31	Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Polyglucosan body myopathy, early-onset, with or without immunodeficiency;Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis;autoinflammation and combined immunodeficiency;Combined immunodeficiencies with associated or syndromic features;Bacterial infections, autoinflammation, amylopectinosis, lymphangiectasia				32086639;32048120;26008899		False	3	0;33;67	1.143	False		ENSG00000092098	ENSG00000092098	HGNC:16031													
RNU4ATAC	gene	RNU4ATAC	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Roifman syndrome, OMIM:616651;Recurrent bacterial infections, lymphadenopathy, Spondyloepiphyseal dysplasia, extreme intrauterine growth retardation, retinal dystrophy, facial dysmorphism, may present with microcephaly				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000264229	ENSG00000264229	HGNC:34016													
RORC	gene	RORC	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 42 616622;Susceptibility to mycobacteria and candida;Defects in Intrinsic and Innate Immunity;Susceptibility to candidasis & Mycobacterial infection				26160376		False	3	100;0;0	1.143	False		ENSG00000143365	ENSG00000143365	HGNC:10260													
RPSA	gene	RPSA	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Isolated congential asplenia 271400;Bacteremia (encapsulated bacteria);Defects in Intrinsic and Innate Immunity				22560297;23579497		False	3	100;0;0	1.143	False		ENSG00000168028	ENSG00000168028	HGNC:6502													
